Illinois,22051
Indiana,7747
Mississippi,4296
Wisconsin,1647
Kentucky,1226
Ohio,1121
Tennessee,1090
Alabama,1070
Arkansas,944
Texas,937
Georgia,933
Michigan,679
Florida,673
Louisiana,529
California,526
Minnesota,474
Iowa,397
Arizona,355
Missouri,344
North Carolina,295
Virginia,269
Oklahoma,207
West Virginia,202
Colorado,187
Pennsylvania,181
Kansas,177
Washington,156
South Carolina,152
Massachusetts,108
Nebraska,104
Nevada,103
New York,97
New Mexico,75
Montana,53
Utah,53
Maryland,50
Connecticut,46
Oregon,40
Idaho,39
South Dakota,36
Alaska,33
North Dakota,31
Wyoming,29
New Jersey,21
Maine,18
New Hampshire,14
Delaware,10
Hawaii,8
Rhode Island,5
Vermont,4
District of Columbia,2
